SVM,KNN,RF,Review
yes,yes,yes,"I have had the Galaxy Note 4 for about 6 months now. The phone never ceases to amaze me. In my opinion I would take this phone over any iphone for a few key reasons. One major reason is the expandable memory which is almost needed for any user who would like a music library, movie collection, or..."
yes,yes,yes,"I've owned this phone for 6 months now & I would say it is flawless, superb mobile experience - however I won't - mine has just died on me! Literally. Not a battery issue so unfortunately Samsung this ones for you...."
yes,yes,yes,"This is an excellent product, with a large quality screen. The phone is also pretty durable as I have dropped mine several times without a scratch or dent.. However this just might be my good fortune. The pen is very useful for taking notes during meetings or for more effective searching methods."
no,no,no,"I was very happy to buy note4 but reception was horrible you can find lot of claim about reception ecpecially 3g is so bad - ı sold out after 1 month , was so sad to paid lot of money --samsung please check your phones before sale"
yes,yes,yes,Chose instead of I Phone 6 Big mistake Battery use no better than my old Galaxy Note 2 Many apps not supported by SAMSUNG such as BBC I Player so it will not stream any programmes BBC blame Samsung!!!!
yes,yes,yes,"I think this is a very smart line of the Samsung Notes. You can do almost everything here. You can do word, excel and powerpoint. You can plan activities, schedules and appointments. You can even plan a vacation!"
yes,yes,yes,"The galaxy note, another gret product of samsung. I havent been disappionted yet. I have had the note 1 up to 4 and they are all greta devices. What I like most about he note 4 is the new gadget where you can lock and unlock youre phones by fingerprint. very easy and quick."
yes,yes,yes,this mobile is more than mobile i can called it laptop :) there is nothing missing on the device. performance is WOW screen is too big :) brightness is more than WOW its really Robust and durable :) the battery lifetime more than 2 days and this is great performance from my point of view also the...
yes,yes,yes,It’s almost a perfect phone. The phone does everything and more. With that being said there are a few things Samsung could fix on their phones. I will get into that later. WARNING- this is a long post that might be boring….. Screen- Best screen I’ve ever seen on a phone.
yes,yes,yes,"I like dis phone, and I like s pen. I wish more templates on snotes or at least to have an option to make your own."
yes,no,yes,"One thing that bothers me is no Camera Api 2.0 and the battery could be a bit better. Other than that, the screen is fantastic, as is the camera. Picture quality is great! Signal is pretty solid, with 4G+ speed beeing very good."
yes,yes,yes,"I have have been using this phone as my daily driver for about 5 months now, this is obviously a long time in the fast paced mobile phone world, however I have had many experiences in my extensive use of the product."
yes,yes,yes,I have had my Note for 6 months now and its simply flawless!
yes,yes,yes,"This phone is amazing, currently I have been using it for about 4 months, and I could not be happier, the battery life is awesome, it has a great screen, th S- pen comes handy when needed, and so far it hasn't had any OS crashes or bugs."
yes,yes,yes,The Samsung GALAXY Note 4 has a 3 GB DDR4 Ram with 32 GB Internal storage. A 2.7 GHz Quad Core processor to power it more consistently. What i love about the Galaxy Note 4 is its Display and Awesomeness. Although the Battery lasts for exactly half a day with heavy use its still a good Smart phone.
yes,yes,yes,"After patiently waiting since SII through S3,S4,S5 and now S6 with or without edge this is still the best of Samung available. Awesome design, very elegant and not just because I chose the model in Gold."
yes,yes,yes,"I used this phone for a few days already and I really like the size, the camera, the stylus and how apps work. The note 4 has everything but is not polished. Fingerprint scanner - more miss than hit Screen - I don t like the colours when the screen is at a low brightness, but such a high resolution..."
yes,yes,yes,"in the midst of researching my next smartphone, I found out I could upgrade on the Verizon Edge plan 4 months early. the proud owner of the Galaxy S4, I wasn't in a terrible hurry, and the Galaxy S6 had just been announced."
yes,yes,yes,Nice big phone. I have huge hands and fingers ideal for me. Fast for texting good all round phone. Battery strength could be better best phone i have had. Beats my sony anytime. Cannot wait for the Note 5. Buy this phone or get it on contract you will not be disappionted.
no,no,no,The note 4 is appalling. The keyboard is shoddy autocorrect doesn't work and doesn't let you type what you want and the operating system omg is it rubish
yes,yes,yes,"this is an amazing phone although it could be cheaper, the processor could be faster. a part from that great phone."
no,no,no,"phone heats up, battery drains fast. started using it last january 19, 2015."
yes,yes,yes,"Simply an incredible phone, the more you learn about it the more you find it can do. Powerfully fast, great camera, versatile, s pen is not a gimmick it really does add value to use. The only downside is the camera protrudes out so be careful in case you drop it, get a good case."
yes,yes,yes,"Really a great device. only problem is with software.. else everything is excellent. no performance issues... great camera.. good build quality.... if samsung pushes the galaxy s6 software into note 4,then it will be great.... lets see what next come in Note 5......eagerly waiting for Note 5..."
yes,yes,yes,Nothing comes close to the utility of this phone. I love the multitasking feature of this phone and I absolutely adore the S-Pen! It's made my life much easier as I no longer have to carry a small notepad with me whenever I work.
yes,yes,yes,"I've had many Android phones and only one iPhone, but this is beyond the best phone I ever had! Its worth the money! I have the ATT version so I have to wait 20 years for an update but Kitkat is pretty good! The S-pen is very handy!"
yes,no,yes,"Stellar performance,good build quality and respectable battery. But still had kitkat and I don't know when my device(n9100h) going to be updated to lollipop. Sometimes the fingerprint id isn't working and take too much try to unlock the screen."
yes,yes,yes,"It is a great phone with obvious improvements from Note 3, I've never used any phblets heavily but this phone has successfully dragged me in to use one. Guess what,it didn't fail me."
yes,yes,yes,A high end smartphone with great features and value for money. The phone deliver the same performance I had assumed considering preceding model i.e. note 3. I am sure this phone will note disappoint anyone who is looking for a complete package.
yes,yes,yes,"A phone filled with a plenty of features!! Two weeks after getting the note 4, I’m still discovering new features and new functions! it’s awesome. Apart his known features (Spen, Photo Note, Fast charging,…), there is a very useful hidden ones."
yes,yes,yes,"To start in my opinion its a good basic phone , easy to download applications and easy to use. I have had this phone for three months now and i feel that there are a few things that could be improved. The battery doesn't actually last very long and my phone keeps freezing."
yes,yes,yes,The S Pen is amazing and the screen display! The battery lats long and charges really quickly. Its worth it
yes,yes,yes,One of the best phones ever made! The Exynos doesn't skip a beat with the gargantuan display and love the features such as Private Mode etc making even TW likeable :) I am not a fanboy of either iOS nor Android and have swapped quite frequently between the two since the last few years but i do...
yes,yes,yes,Does everything very well. Not cheap but worth it.
yes,yes,yes,Does everything very well. Not cheap but worth it.
yes,yes,yes,"i had a sony xperia v then traded it for a galaxy s3, now i got my self the note 4 and i'm truly happy with the phone the battery lasts me 2 days without power saving mode i'm not a heavy user as you can think but the s3 lasted me one day and the v not even a day i was overwhelmed by the size at..."
yes,yes,yes,"Great all round phone, with awesome features. With the 3GB of RAM the multitasking features work seamlessly. The s-pen is one of a kind making this phone stand out from all the other out on the market. It is simply the best."
yes,yes,yes,"The Best of the best phablet.It has every thing you need in a phablet.it have 2K screen,stylus pen,S note app,beast camera with 4K,16mp and 1080p at 60 fps and optical image stabilization,big battery,front camera with 3.7 and wide pic,fast charge and a lot of things that you need."
yes,yes,yes,Note 4 has very features and specs that I have been looking for. Loving it.
yes,yes,yes,Its the best phone iv ever used!!! it beats the iphone by far! its great phone with great screen and build quality and battery life and gaming performance ! its just perfect and its the phone that i reccomend everyone to get and you will not go wrong with it :)
yes,yes,yes,"Went from my note 3 to an S5. Big mistake! Now I'm back on track again with my note 4. Great phone fast, screen size perfect for me. I'm a chef so I take a lot of notes for myself to remember recipes etc. Not switching phones till the note 5."
no,yes,yes,Crashed and lagged on me for MORE than 20x and i got it a MONTH ago... barely have any files on my phone.. such a disappointment. &#58;-(
yes,yes,yes,"The Samsung Galaxy note 4 is the flagship Samsung phone. coming in at number 1 for 2014 phones, the Note 4 falls under the sub-smartphone catagory of phablet (phone tablet) because of the screen size and range of features."
yes,yes,yes,This phone is amazing the phone has an amazing screen once I switched on for the first time the screen blew me away. The phone has a lot of features on the phone from multitasking which takes advantage of the big screen for example I could be watching youtube videos and replying to emails at the...
yes,yes,yes,This phone is amazing the phone has an amazing screen once I switched on for the first time the screen blew me away. The phone has a lot of features on the phone from multitasking which takes advantage of the big screen for example I could be watching youtube videos and replying to emails at the...
yes,yes,yes,"Build quality is great, only better devices in terms of built is iphone 6 and m8. Reception is just fine call quality is great internet is fast and browsers are great such as multimedia with the speaker being nice.(others are in the scoreboard down below)"
yes,yes,yes,Ive been using it since a month now. Very satisfied with the build quality for the first time. Display is amazing. Worth spending your money. I was regular buyer of samsung galaxy series but i skipped galaxy s5 for its ugly looks and shifted to htc m8 which was beautiful and at the same performer in...
yes,yes,yes,"I love this phone. The Note 4 does everything that the Note 3 did and much more. The display is so clear and lifelike, it is like looking out of a window rather than looking at a screen. The camera is better than the Note 3."
yes,yes,yes,"I just switched cell providers and decided to get the Samsung Galaxy Note 4. I had the Note 3 prior to this. The Note 4 is a lot like the Note 3 except the display is much better, the camera takes better pictures and I think the new UI looks better. The S-pen also functions better and has more uses."
yes,yes,yes,"Ive had the Note 2 for 2 years (which I loved) and recently upgraded to the Note 4.  When I first turned on the Note 4 I was blown away by the display, its truly stunning!  Im still working my way through the phones features, but so far I love the S Pen enhancements, the fast charging features, the..."
yes,yes,yes,Awesome phone is the note 4 i had before a note 3 if we talking about speed you didnt see much difference but the hardware had a big revolution and in al lot of point you see a big differnece. The battery life is more than I can ask for. Screen size is great. It feels comfortable in my hands.
yes,yes,yes,"I have yet to experience any flaws in this phone. Also as a professional photographer, i have to say that the camera is amazing. Best camera on a phone, ever! I love how quickly the phone charges and the phone itself works smoothly, even the content on the micro sd card open up without hitches"
yes,yes,yes,"Truly amazing! everything from screen to camera to build quality is top notch. this monster excels nearly in every way except maybe for design...though great for me some people are still unsatisfied. tghe screen is exceptional, you hae to see to believe it."
yes,yes,yes,"the note 4 is a beast in the spec department, but samsung's touchwiz ruins the phone. this phone has a great camera and a great battery. the build quality is great, but the back is a disaster with its pores"
yes,yes,yes,Mine is the Exynos version. It is an awesome phone. The camera is just stuning and beautiful.The battery drains quite fast thou but the fast charging really helpful. It does not Lag at all and the TouchWiz in the Note 4 quite nice actually.
yes,yes,yes,"Where to start? I guess with build. Well after owning the previous 2 notes, I can confidently say it's as close to perfect an android phone has ever been (I don't consider non sd and removable battery phones at all). The metal frame is gorgeous."
yes,yes,yes,"This is the best smartphone I have ever had. So much, as I am still learning. So far, the battery has been great. Display is awesome! Reception and call quality has been very impressive. Like this phone more than any I have had, even with the big screen."
yes,yes,yes,About 10 days on this beast and I have fallen deeply in love with it! Hope to keep it as my daily driver for the next 2 years. The good is that I wasn't fooled by my friends recommending to go for the iphone 6! Haha
yes,no,yes,Best thing of the year I don't know what is wrong with people these days who are preferring iphone over this phone clearly this phone is the king of smartphones I am really enjoying this thing I had an iphone but this thing is different
yes,yes,yes,"Amazing phone. It can do anything you can think of!!! 4k video, mulitscreen, new s pen features, panoramic selfies, the best camera features on the market, one-handed mode, easy mode (if some of this seems a little overwhelming), just to name a few."
yes,yes,yes,"Perfect, phone. I could not find any other phone so ideal for me. Samsung hit it out of the park with this one. This is the phone you have been looking for all your life. It's an entirely adaptive experience that is only comparable to Samsung."
yes,yes,yes,"The phone feels good in my hand and fits in my pocket just fine. The display is very sharp and a big improvement over the Note 2 display. I don't like how the camera protrudes out the back of the phone, a case might fix this problem. I wasn't sure this phone was going to replace my note 2."
yes,yes,yes,best phone ever.why would any one try to compare to iphone
yes,yes,yes,This phone is a complete beast. If you do not mind the size it is definitely the best phone on the market. The pen is also extremely useful and can use for many tasks such as copying and pasting as well as just browsing the web.
yes,yes,yes,This is the most amazing phone I've ever owned. I research all things before I purchase and this one exceeds my expectations! Battery life is great! All day and have 75% left when I get home from work. In new home construction so I use it a lot. Camera is so clear with crisp colors! It's amazing!
yes,yes,yes,I just got this phone last week Wednesday. This is a major upgrade from the Motorola Photon Q I had. I've only had slider phones prior to this and was expecting to have a hard time transitioning to an all touchscreen. Man was I wrong. The battery life is more than I can ask for.
yes,yes,yes,It is currently one of the best Phablet. S pen stylus functionality has increased and it felt very good to work with. Thanks to quad-core processor and 3 GB of RAM seems unlikely that you have a problem with the phone hangs.
yes,yes,yes,Great phone well built just superb very very very superb stylus works great companion for overall experience display is sharp and vividly colourful processor is great as well Overall a great phone worth buying
yes,yes,yes,Samsung is one of the best company now a days.... because no one beat their features and there is no company who can beat them
yes,yes,yes,"Love the big screen, love the ease to upload my custom ringtones or pictures (no itunes in the middle), love the camera, 16 megapixel and 8x zoom did for me what my old 8mpix Iphone4S never could! love the fingerprint security.I hear the note 3 has a 10000 Mah battery?"
yes,yes,yes,Hard to choose where to start. Design/Build Quality. For me metal doesn't make a difference as I have the Note 3. I gave it an 8 because I hate that they paint the sides when it could have simply been all chrome. It may as well had been plastic if you're gonna paint it.
yes,yes,yes,"Totally dig the device, especially the S Pen. But, man, the TouchWiz interface is super kitschy and the way the screen displays is downright garish. It's like a huge piece of functional super-sweet candy. It's got a sturdy build, but that leatherette back is so cheesy."
yes,yes,yes,"I was never a fan of Samsung nor phablet but Galaxy Note4 is to love! Especially when I work in design field and I usually have to take the note. All the feature fits from a entrepeneur s, freelancers, to college students. I don't need to be technology saavy to find the feature useful."
yes,no,yes,"so much improve from galaxy note3 better camera (both front and rare), image quality are soooo good even I turn off beauty mode. screen quality is perfect. the most impressive function goes to battery and ultra power saving mode >> it's safe my life! I can live a day without battery charger now."
yes,yes,yes,"Galaxy Note 4 is a beast of a phone! Love it. Call quality is clear and crisp, the build of the phone is WAY better than Galaxy S 5. Camera is excellent. Just and overall excellent phone. Battery life is spectacular! My best phone so far."
yes,no,yes,"Had the note 3 before, much enhanced phone than note 3. Great changes have been made especially to the quality and interface. Touch wiz still lags the device but its still much enhanced than the previous version."
yes,yes,yes,Man ! That phone blew me away! Was waiting for the Nexus 6 but the Note series is the best at the phablet category! Best QHD Display I've ever seen! The Exynos version is 64-bit (maybe will Samsung unlock that feature in Android L) S Pen every phablet needs it!
yes,yes,yes,"going to balance this out, since some iphone fans rated this 0. When you unbox this beast, first thing you notice are the metal sides shining at you, when you wrap those covers out and take the device on your hand you really feel the perfect balance of premium and grip."
yes,yes,yes,its a excellent phone.. the very best on the market at the moment. almost like a litte pc. the display and the looks of the phone is just great - i simply love it. and belive it or not its one of the most bestlooking phone out there!
yes,yes,yes,Average phone not awesome but good.price is very high compared to its features offered.nexus 6 will be a good alternative.but value for money if you look go for lg g3-the best phone of 2014.stylus is the remarkable feature.
yes,yes,yes,"Samsung has out did themselevs with this Note 4 Awesome, Awesome.. phone quality is great, Samsung could have really killed it if they would have released all the colrs like they said on 9/3/14. Overall best large smartphone on the market hands down."
yes,yes,yes,The note 4 just kicked it up a bit the screen is amazing the new os look just great really fast with the t mobil 4g lte runs like a transformer Optimus prime just the best out there. Haf an Iphone 6 thanks to the 15 day policy i turned it in and got a note 4 just did the best thing in my life.
yes,yes,yes,So after reading some of the reviews I thought I would post mine. For those that don't like change I can see why they might be a little hard on their review of the phone. In all honesty the phone is an improvement over the fantastic Note 3.
yes,yes,yes,"Fantastic phone, a real powerhouse with a huge battery making it last all day long. Great camera, and build. Sturdy build, nothing cheap like the new iphone. Display is amazing, zero complaints about it. The 1440p and dimness to 1 nit is incredible"
no,yes,no,"I like the design, battery sucks as it drains every 30-60 sec every time in use or even when not in use, speaker not loud, lag, complicated to understand, fragile but great look qaulity. I am 60% satisifed with this phone not as I was hoping for 90% or above."
yes,yes,yes,"The more I use this phone, the more I get impressed. The screen display quality is superb. The S-pen and Multi-window implementations are terrific. The build quality while preserving the battery/memory card access is top notch. The best all-around smartphone, bar none!"
yes,yes,yes,Great ogle been using it for a week the screen is amazing and the phone is super quick I wad surprised with AL the apps I babe that it hasn't slowed down. Love having the metal it makes the phone feel better not cheap metal like the iPhone I had in the past.
no,no,no,"Thank goodness for return policies! The resolution is such a non issue. It is also a pentile display so do the math (= not so much). I gave it a shot since it was a super AMOLED screen, but I was wrong. This phone's screen is barely better than the G3's."
yes,yes,yes,"it is a new phone and all, but I have both note :the note 3 and 4, and since my point of view the note 4 do the same , the UI in note 3 looks more professional , note 4 is so colorful ( so that it looks to me like a kid toy ) in brief, if you have note 3 there is not need for upgrade, and if you..."
yes,yes,yes,Amazing phone big fast and all goodies not all metal but the lether plasticnice too one of the best the but you should check other phones you may like more but amzing Build quality: great. Reception: very nice. Call quality: very nice. Internet: smooth. Multimedia: perfect! Camera: perfect!
yes,yes,yes,"First up, screen size. The original Note came with a 5.3-incher, the Note 2 showed up with a 5.5-inch display and the Note 3 pushed things to 5.7 inches. Going by this logic the Galaxy Note 4 should have come with a 5.9-inch display, which would see it match the HTC One Max and LG G Pro 2, while..."
yes,yes,yes,Samsung Galaxy Note 4 is the best smarthpone ( phablet ) im the world! The build quality is very very good with an superb design. The QHD Super Amoled display is the best in the world. The processor is the best in the world. Battery life is very good. The camera is very good.
yes,yes,yes,"Build quality: very nice. Reception: very nice. Call quality: very nice. Internet: very nice, fast and smooth. Multimedia: perfect! Camera: perfect! UI speed: fairly well, sometimes a bit slow. Everyday usage: very nice. Text input: very nice. Display: perfect!"
yes,yes,yes,"Best in what it offers. Great phone with many extra functionalities such as IR blaster, air view, its great stylus, private mode and many more. great battery, it can survive a hardcore use very easily."
yes,yes,yes,"perfect The design is really impressive and so is the build quality Display is as good as they come Battery life is excellent Superb performance, proper benchmark champion Audio quality is excellent 16MP camera is a stellar performer, OIS works like a charm 4K videos are the best in business..."
yes,yes,yes,"I am already finding it hard to wait for soooo long for this phone to be released! I have pre-ordered this amazing phone in bronze gold. I havent had the pleasure of actually seeing the gold model in real life yet, but this is the one I want!"
no,no,no,Worst and very expensive.not at all worth it.believe me it is the worst.
yes,yes,yes,"Using this phone since 2 months,no problem at all. Ist it is best display of 2014.stunning display,excellent battery life,lasts easily for 2days.superfast,excellent camera.best smartphone of 2014.go get it."
yes,yes,yes,"I have completed two years with my Note 4. It's the last best note device made by Samsung (considering the Note 7 disaster). It handles everything, gives a backup of 12 hours with moderate usage, hangs and restarts itself very seldom (last time hanged three months back), elegant design, good primary..."
yes,yes,yes,40k for this 2014 model is not a worthy deal! Everyone will prefer ONE PLUS 3T which is available for 30k which is awesome & much latest than 3 years old Note 4! Better make the price of Note 4 to 30k or 27k then it might get sold!
yes,yes,yes,It's better at 30 000 not at 40 000
yes,yes,yes,"The best phone I have used till date. I have been using my Note 4 for the past 2 years. Flow less performance,Premium looks and good battery life."
yes,yes,yes,I just bought this handset samsung Note 4 SM 910G a awesome device.good configurations. Display is superb and battery backup is nice 1 day with usage.the sensors are lot have features.it is the device that can say all features in one hand.just say awesome device.i recommend to all buy this handset...
yes,yes,yes,One of the best products from samsung
no,no,no,Poor battery... poooorest.. elsa a great phn if u can keep charging it 6 times a day
yes,yes,yes,Fantastic smartphone I have ever had. Lot of features to explore.
yes,yes,yes,Enjoying every bit of it ...specially the pen....awesome...very helpful in designing
yes,yes,yes,"Hello, I have recently bought the product from a different reseller. First Coming to the specs, I must Note 4 has beaten many of other Competitors in the similar price range min terms of Specs. I think Note 4 is far better than Note 5, S5, S6 and even Note 7."
no,no,no,dont be sale this useless brand product . who product is useless after a year . i purchase note 4 at rs 58500 but its not working properly. service provider asked more than 15000 rs for repair .
yes,yes,yes,"It's a good device at this price range, it was launched at a very high price before 2 years, it is still a great device. Now it also has the marshmallow update so it runs like note 5 , you won't get a better phone than this in this price range. I have been using for 5 months and it has no lags."
yes,yes,yes,I received with thanks
yes,no,yes,Note 4 is a excellent phablet ! The RAM managment is also very good The gaming is also excellent. Te screen is superb ! Has brilliant both cameras with amazing modes. Powerful processor with great speed. Outstanding battery backup. Good ram management for multitasking.
yes,yes,yes,Nice Phone..!!! I'm having this amazing product next month.
yes,no,yes,I have purchased this mobile on the very first day of itz india launch... till now no lagging n ol... display is superb !!..
yes,yes,yes,I fully sastify while using this mobile.
yes,no,yes,"Big surprises come in short packages. Really surprised by this monster. One hell of a phone! Equipped with a Snapdragon 810 chipset and tri-band LTE modem. The chipset's processor will feature an octa-core processor that will be compatible with the 64-bit architecture, giving future owners some..."
no,yes,no,My friend received a damaged piece.when he claimed he was not at all given a new piece.his money was wasted.so please guys do not buy it.
yes,yes,yes,Superb camera quality
yes,yes,yes,best smartphone ever
yes,yes,yes,Great phone with great features - Very smooth operation.... I really love it
yes,yes,yes,Till now didn't get the latest android update.. All the rest of the premium device in the universe got the android 5 update..switching to iphone 6 plus.. feels total disappointed after all spending this much money..
yes,yes,yes,"A great phone from Samsung, beautiful metal frame, great hardware, good camera quality...those who are complaining of heating issues might check their product again or replace it...as per my consideration there is no overheating issues with this phone...."
yes,yes,yes,Aweome features.... Awesome Camera .... Solid battery power... Awesome stylus features... Awesome display quality ... Awesome Processing speex.... In short A NOTE can only beat NOTE rest all can just give try
yes,yes,yes,"The Note 4 is touted as the ideal replacement to the Note 3. Ideal it is if you replace chalk with cheese. Except for the Quad HD display, which in the real world means nothing at all, expect to bring out all the details alive on pre-loaded wallpapers, it DOESN'T mean a thing at all."
yes,yes,yes,It's the behind of good bye days to Samsung
yes,no,yes,"On my particular Samsung Note 4 the interface color choice is either white and orange, grayscale, two settings for colorblindness or inverted. The only thing worse than Samsung Note color choices are those color choices inverted."
yes,no,yes,"loved my Note4 for its camera, design and the stylus. Good to see they upgraded everything and espcially the camera features looks pretty impressive. I am not sure why dropped my most used feature remote control. everyone in my home has Samusng devices and they use remote app every now and then."
yes,yes,yes,"SHORT N SWEET...LG G3 WAS GREAT, THIS IS AMAZING...IVE HAD OVER 15 SMART PHONES, NOT ONE COMPARES TO THIS. ADDED A 10,000 MAH BATTERY PACK.CASE 69.99 FROM EBAY, CHARGE PHONE EVERY 5 DAYS. I LIKE LARGE PHONES, AND THE NEW BATTERY ADDS 6 OUNCES AND I LIKE THAT TOO. I PREFER BULK IN MY HAND."
yes,no,yes,"I love this phone. I had an iPhone 6 that I traded for the Note 4, and I immediately fell for the stylus. I love being able to take handwritten notes and have them converted to a more readable format. The battery life is good. I do have to charge it daily, but I am a very heavy user."
yes,yes,yes,"I discovered the Galaxy Note 4 one day while I was watching TV. The product looked very interesting and it caught my attention. I was in need of a new phone, so I decided I would get the Samsung Galaxy Note 4. It did not disappoint me at all."
yes,yes,yes,"Check out comparative study between Note 4 , HTC , Xperia Z3"
yes,no,yes,"Aside from the good display, this phone doesn't have much going for it"
yes,yes,yes,"This is one of the finest phones I've ever owned. It's lightning fast, sips the battery, and has features that other phablets would be wise to emulate."
yes,yes,yes,"*The actual screen is the next most obvious asset this phone has to offer. It's big, bright, colorful and super sharp. Those extra pixels might be too close together for my eye to focus on, but they do make little details show up nicely."
no,no,yes,"This is my second Samsung note 4 phone, the first one would constantly drop calls when I try to answer phone, and in the middle of my conversations. Also when I would try to look at my pictures , screen would freeze."
yes,yes,yes,"Long story short, this is the best phone that has ever been made!"
yes,yes,yes,I upgraded from a Galaxy S4 four weeks ago to the Note 4. Holy bejeezus I was not expecting to fall so hard for this baby. I was reluctant to choose the Note over the larger size but it's turned out to be a complete non-issue.
yes,yes,yes,Samsung's latest and greatest phablet! Great upgrade from the Note 3!
yes,yes,yes,PLEASE NOTE I MEAN THIS WHOLE THING ONLY IN THE PHABLET CATEGORY.
yes,yes,yes,This is an amazing phone overall. I love every aspect of this device.
yes,yes,yes,This is an amazing phone it has the best looking screen on and device I've ever used. The blacks are so black and the colors just pop. I'd suggest this phone to anyone that wants a phone with a pen and an amazing screen.
no,no,yes,Note: this is a factory-unlocked Snapdragon 805 variant
yes,yes,yes,"As a T-mobile customer, I received my Note 4 last week. The phone is solid and feels great in the hand. As I am one of those people that does not mind the ""plastic"" of past Samsung phones, I was happy that the addition of metal did not make the phone uncomfortably heavy."
yes,no,yes,Still needs improvements. Not convinced to purchase one.
yes,yes,yes,"Finally, after numerous leaks, rumors and speculations, the fourth generation Samsung phablet – Galaxy Note 4 has been launched. DISPLAY : The display is yet another highlight of the Galaxy Note 4 as it flaunts of an extraordinary 5.7 inch Quad HD Super AMOLED display that boasts of a screen..."
yes,yes,yes,"A phablet (avoid if you prefer using your phone with one hand) that has expandable storage, removable back panel to change battery pack, with quad hd screen (best among all phablets). I used S6 for a year before giving it to wife, and ended up buying Note 4."
yes,yes,yes,This is a very good phone.....its better you unpack it start using....no one will buy at this price. Anybody having this kinda budget will go for iPhone 6 etc....What are u guys thinking??????.......what made u keep this price.
yes,yes,yes,Best phone of 2014 and still is very good
yes,yes,yes,Hands down the best phone I have ever used or tried. It is practically better than Note 5. iPhones are not even in the same league. This phone has more features that I use than any other phone.
yes,yes,yes,This phone is awesome and evergreen. No matter how many note series comes but this it still beast from Samsung till date.
yes,yes,yes,WOW kind of product. So far excellent since last 10 months.
no,no,yes,Camera not focusing
yes,yes,yes,"I hav purchased in 2015. almost over 1yy2mm. Awesome device from Samsung. Handy. durable than any other Samsung device. Only disappointment is that, body finishing(painted body) would go after some months.(same like other samsung devices)"
yes,no,yes,PROS: 1. Superb Screen 2. Great Battery - Does 24 hrs of moderate use; 18 hours of heavy moderate use; 12 hours of heavy use. 3.Potent Stylus- Responds differently to different pressure & very sensitive. 4. Great buttons. 5. Good if not the best speaker. 6.
yes,yes,yes,If you want to buy a phone.... Buy this or wait for note 8.... Finally two years with the beast. Battery superb... 8 hours on ⁴g with regular use.. Screen best speakers great... Run smoothly..... Go for it guys... If you dont want to buy for next two years
yes,yes,yes,I LOST THIE PRODUCT BEFORE WEEK. PRODUCT WAS FINE
yes,yes,yes,Its Better than Note 5
yes,yes,yes,"The only phone of Samsung that I'll currently consider buying - of the current crop of phones that are available in the market..... It's got a removable battery, expandable storage, and top of the line specs. Check out the article here: ""Was the Note 4 the last great Samsung Phone"" [...]"
yes,yes,yes,"Best smartphone out there,even now. I'll be very brief: Camera 9/10 Display 10/10 Productivity 9/10 Media 10/10 Loudspeaker 8/10 Fingerprint scanner 8/10 Design 9/10 Feels rich? Oh yeah. I had this phone for a year now and i also own galaxy note 5 and s7 edge."
yes,yes,yes,Good camera Great screen
yes,yes,yes,"i am a big fan of note series, it's class apart"
yes,yes,yes,Loved this phone. Awesome performance and it charges very fast.
yes,yes,yes,Exrcellent outstanding
